questions_spa,questions_eng
¿Qué cosa importante o interesante has hecho de la cual te sientes orgulloso(a)?,What important or interesting thing have you done that you are proud of?
"¿Sueles ser puntual, o sueles llegar tarde?","Are you punctual, or are you often late?"
"¿En qué forma eres poco convencional, peculiar o excéntrico?","In what ways are you unconventional, quirky or eccentric?"
¿Con qué frecuencia sueles observar detalladamente a la gente que pasa?,How often do you tend to look closely at people passing by?
¿Cuál es tu bebida favorita?,What is your favourite drink?
¿Qué cosa esperas que nunca cambie?,What one thing do you hope never changes?
¿Cuál es el automóvil de tus sueños?,What is your dream car?
¿De dónde preferirías ser?,Where would you rather be from?
¿A qué cosas le darías una puntuación de 10 / 10?,What things would you give a score of 10 / 10?
¿En qué trabajo serías pésimo(a)?,Which job would you suck at?
¿Qué estás absolutamente decidido(a) a hacer?,What are you absolutely determined to do?
¿Qué habilidad te gustaría dominar o perfeccionar?,What skill would you like to master or perfect?
¿Qué sitio web visitas más?,Which website do you visit the most?
¿Cómo sería tu habitación o cuarto ideal?,What would your ideal room look like?
¿Hasta qué edad quieres vivir?,How old do you want to live?
¿Qué tipo de arte disfrutas más?,What kind of art do you enjoy the most?
¿Qué te hace perder mucho tiempo de tu día?,What takes a lot of time out of your day?
¿De qué te gustaría saber más?,What would you like to know more about?
¿Cuál es la mejor manera de empezar el día?,What is the best way to start your day?
¿De qué misterio te gustaría saber la respuesta?,What mystery would you like to know the answer to?
¿Qué tan diferente era tu vida hace un año?,How different was your life a year ago?
¿Cuál es el mejor día del calendario?,What is the best day on the calendar?
¿Cuáles son algunas cosas que has tenido que desaprender?,What are some things you have had to unlearn?
¿Cuál es tu género favorito de libros o películas?,What is your favourite genre of book or film?
¿Qué moda o tendencia esperas que vuelva?,What fad or trend do you hope will make a comeback?
¿En qué ciudad te gustaría vivir?,What city would you like to live in?
¿Cuándo fue la última vez que te subiste a un árbol sólo por diversión?,When was the last time you climbed a tree just for fun?
¿Cuál consideras que es tu mejor hallazgo?,What do you consider to be your best find?
¿Qué tiene de especial el lugar donde creciste?,What is special about the place where you grew up?
¿Qué edad te gustaría tener para siempre?,How old would you like to be forever?
¿En qué vale la pena gastar más para obtener lo mejor?,What is worth spending more on to get the best?
¿Por qué cosa es más probable que te hagas famoso(a)?,What are you most likely to become famous for?
¿A qué lugar ficticio te gustaría más ir?,What fictional place would you most like to go to?
¿En dónde está el lugar más relajante que has visitado?,Where is the most relaxing place you have ever visited?
¿Sobre qué te has formado una opinión recientemente?,What have you recently formed an opinion about?
¿Qué es lo más reconfortante que has visto?,What is the most comforting thing you have seen?
¿Cuál es la pieza de arte más interesante que has visto?,What is the most interesting piece of art you have seen?
¿Qué es algo que te gusta hacer a la antigua?,What is something you like to do the old-fashioned way?
¿Prefieres hacer ala delta o rafting en aguas bravas?,Do you prefer hang gliding or white water rafting?
¿Quién te ha impresionado más con lo que ha logrado?,Who has impressed you the most with what they have achieved?
¿Cómo te relajas después de un duro día de trabajo?,How do you relax after a hard day's work?
¿Qué programa de televisión o película popular te niegas a ver?,What popular TV show or movie do you refuse to watch?
¿En qué trabajo crees que serías realmente bueno(a)?,What job do you think you would be really good at?
¿Qué mascotas tuviste mientras crecías?,What pets did you have growing up?
¿Dónde pasarías todo tu tiempo si pudieras?,Where would you spend all your time if you could?
¿Cuál sería la aventura más increíble que podrías tener?,What would be the most amazing adventure you could have?
¿Cuál sería tu forma ideal de pasar el fin de semana?,What would be your ideal way to spend the weekend?
¿Cuál es la mejor manera en que una persona puede gastar su tiempo?,What is the best way for a person to spend their time?
¿Qué es lo que realmente quieres pero que no te puedes permitir todavía?,What is something you really want but can't afford yet?
¿Qué es lo más afortunado que te ha pasado?,What is the luckiest thing that has happened to you?
¿Cuáles son algunas pequeñas cosas que hacen que tu día sea mejor?,What are some of the little things that make your day better?
¿Cuál fue la mejor cosa que te pasó la semana pasada?,What was the best thing that happened to you last week?
¿Qué cosa estás esperando que suceda en los próximos meses?,What are you looking forward to happening in the next few months?
¿Cuál es el hábito más molesto que tienen otras personas?,What is the most annoying habit that other people have?
¿En qué universo de un juego o película te gustaría vivir?,What game or movie universe would you like to live in?
¿Cuál es la cosa más impresionante que sabes hacer?,What is the most impressive thing you know how to do?
¿De qué pregunta te gustaría saber la respuesta?,What question would you like to know the answer to?
¿Qué cosa te interesa que la mayoría de la gente no conoce?,What is something that interests you that most people don't know about?
¿Por qué decidiste tener el trabajo que tienes ahora?,Why did you decide to have the job you have now?
¿A qué estado o país no quieres volver nunca?,What state or country do you never want to go back to?
¿A dónde sueles ir cuando tienes tiempo libre?,Where do you usually go when you have free time?
¿Qué es lo que más esperas que suceda en los próximos diez años?,What do you most look forward to happening in the next ten years?
¿Cuál es la pregunta más molesta que la gente te hace regularmente?,What is the most annoying question people ask you on a regular basis?
"Si de repente te convirtieras en un maestro de la carpintería, ¿qué construirías?","If you were to suddenly become a master carpenter, what would you build?"
¿Sobre qué podrías dar una presentación de cuarenta minutos sin ningún tipo de preparación?,What could you give a forty-minute presentation about without any preparation?
¿Qué cosa impresionante hiciste que nadie estuvo cerca para ver?,What impressive thing did you do that no one was around to see?
¿Qué pasatiempo tendrías si el tiempo y el dinero no fueran un problema?,What hobby would you have if time and money were no object?
"Si no tuvieras que dormir, ¿qué harías con el tiempo extra?","If you didn't have to sleep, what would you do with the extra time?"
"Cuando las personas se acercan a ti en busca de ayuda, ¿con qué cosas suelen querer ayuda?","When people come to you for help, what things do they usually want help with?"
¿Qué es algo que tú crees que todas las personas deberían hacer por lo menos una vez en sus vidas?,What is something you think everyone should do at least once in their lives?
¿Qué es algo que has querido probar o hacer pero que aún no te has decidido a intentar?,What is something you've wanted to try or do but haven't decided to try yet?
"Si todos los trabajos tuvieran el mismo salario y las mismas horas, ¿qué trabajo te gustaría tener?","If all jobs had the same pay and the same hours, what job would you like to have?"
¿A qué banda o artista acudes cuando no puedes decidirte por algo que escuchar?,What band or artist do you turn to when you can't decide on something to listen to?
"¿Qué es algo que la mayoría de la gente considera un lujo, pero del que no crees que puedas prescindir?","What is something that most people consider a luxury, but you don't think you can do without?"
¿Cuál sería tu primera pregunta después de despertar de estar congelado criogénicamente durante cien años?,What would be your first question after waking up from being cryogenically frozen for a hundred years?
"¿Qué es algo con lo que un montón de gente está obsesionada, pero que tu no entiendes el punto de ello?","What is something that a lot of people are obsessed with, but you don't understand the point of it?"
"Si pudieras convertir cualquier actividad en un deporte Olímpico, ¿en qué “deporte” tendrías una muy buena probabilidad de ganar una medalla?","If you could turn any activity into an Olympic sport, in what ""sport"" would you have a very good chance of winning a medal?"
¿Qué pieza de entretenimiento te gustaría poder borrar de tu memoria para que pudieras experimentarla de nuevo por primera vez?,What piece of entertainment would you want to be able to erase from your memory so you could experience it again for the first time?
"Si tuvieras fondos ilimitados para construir una casa en la que vivirías el resto de tu vida, ¿cómo sería la casa terminada?","If you had unlimited funds to build a house that you would live in for the rest of your life, what would the finished house look like?"
¿En dónde está el lugar más hermoso que conoces cerca de donde vives?,Where is the most beautiful place you know near where you live?
¿Qué llevas contigo a todas partes?,What do you take with you everywhere you go?
¿Cuánto tiempo pasas en Internet? ¿Qué sueles hacer?,How much time do you spend on the Internet? What do you usually do?
¿Cuál es el hábito más asqueroso que tienen algunas personas?,What is the most disgusting habit that some people have?
¿Qué noticia reciente es la más interesante que has escuchado/leído?,What is the most interesting recent news you have heard/read?
¿Cuál es el peor lugar en el que has estado atrapado durante mucho tiempo?,What is the worst place you have been stuck in for a long time?
"Si tuvieras que cambiar tu nombre, ¿cuál escogerías?","If you had to change your name, what would you choose?"
¿Qué es algo que realmente te molesta pero que no molesta a la mayoría de la gente?,What is something that really bothers you but doesn't bother most people?
¿Qué palabra o dicho del pasado crees que debería volver a usarse?,What word or saying from the past do you think should be used again?
"¿Cómo debería medirse el éxito? Y, de acuerdo con esta medida, ¿quién es la persona más exitosa que conoces?","How should success be measured? And, according to this measure, who is the most successful person you know?"
¿Cuál es tu placer culposo?,What is your guilty pleasure?
¿Experimentaste alguna vez un evento en tu vida que desafía toda explicación?,Have you ever experienced an event in your life that defies explanation?
"Si pudieras conocer la respuesta a una pregunta sobre tu futuro, ¿cuál sería la pregunta?","If you could know the answer to a question about your future, what would the question be?"
¿Qué cosa aportas al grupo cuando sales con tus amigos?,What do you bring to the group when you hang out with your friends?
¿Con qué frecuencia maldices o dices groserias? ¿Y cuál es tu cadena de palabras groseras o vulgares preferida?,"How often do you curse or swear, and what is your favourite string of swear words?"
¿Qué modas o tendencias seguiste cuando eras más joven?,What fads or trends did you follow when you were younger?
¿Cuál fue el mejor período de tu vida hasta ahora? ¿Cuál crees que será el mejor período de toda tu vida?,What was the best period of your life so far? What do you think will be the best period of your whole life?
¿Qué haces para mejorar tu estado de ánimo cuando estás de mal humor?,What do you do to improve your mood when you are in a bad mood?
¿Cuál es el miedo más tonto que padeces?,What is the silliest fear you have?
¿Cuál es la mejor habitación o parte de tu casa y por qué?,What is the best room or part of your house and why?
¿Quién es alguien popular ahora que realmente te gusta? ¿Por qué te gustan tanto?,Who is someone popular now that you really like? Why do you like them so much?
¿Cuál es el mejor lugar para tener una cita?,What is the best place to go on a date?
¿Qué olor te trae grandes recuerdos?,What smell brings back great memories?
¿Cuál es el mejor nombre de mascota que se te ocurre para un tipo específico de mascota?,What is the best pet name you can think of for a specific type of pet?
¿Con qué frecuencia ayudas a los demás? ¿A quién ayudas? ¿Cómo ayudas?,How often do you help others? Who do you help? How do you help?
¿Qué te pone nervioso(a)?,What makes you nervous?
¿Quién es la persona más graciosa que has conocido?,Who is the funniest person you have ever met?
¿Qué talento raro o inútil tienes?,What weird or useless talent do you have?
¿Cuáles son algunas extrañas creencias que tienen las personas?,What are some strange beliefs that people have?
"¿Quién sería la peor persona con la que podrías estar atrapado(a) en un ascensor? Y, ¿qué tal la mejor persona para estar atrapada en un ascensor?",Who would be the worst person you could be stuck in a lift with? And how about the best person to be stuck in a lift with?
¿Cuál fue el mejor regalo de cumpleaños que has recibido?,What was the best birthday present you ever received?
¿Cuál fue el último video gracioso que viste?,What was the last funny video you watched?
¿Qué es algo que te obsesiona?,What is something you obsess about?
¿Qué tres palabras te describen mejor?,What three words best describe you?
¿Cómo sería un fin de semana perfecto para ti?,What would a perfect weekend be like for you?
¿Cuál es tu número favorito y por qué?,What is your favourite number and why?
¿Qué vas a hacer este fin de semana?,What are you doing this weekend?
¿Qué es lo más útil que posees?,What is the most useful thing you own?
¿Cuál es tu manera favorita de perder el tiempo?,What is your favourite way to waste time?
¿Qué piensas de los tatuajes? ¿Tienes alguno?,"What do you think about tattoos, do you have any?"
¿Tienes alguna mascota? ¿Cuál/Cuáles son su(s) nombre(s)?,Do you have any pets? What is/are their name(s)?
¿Qué cosa popular en la actualidad  te molesta?,What currently popular thing bothers you?
¿Qué hiciste en tus últimas vacaciones?,What did you do on your last holiday?
¿Cuándo fue la última vez que trabajaste increíblemente duro?,When was the last time you worked incredibly hard?
"¿Eres muy activo(a), o prefieres relajarte en tu tiempo libre?","Are you very active, or do you prefer to relax in your free time?"
¿Qué haces cuando sales con tus amigos(as)?,What do you do when you go out with your friends?
¿A cuál de tus amigos conoces desde hace más tiempo? ¿Dónde lo conociste?,Which of your friends have you known the longest? Where did you meet them?
¿Qué es lo mejor y lo peor de tu trabajo/escuela?,What is the best and worst thing about your job/school?
"Si tuvieras música de intro en tu vida, ¿qué canción sería? ¿Por qué?","If you had intro music in your life, what song would it be? Why?"
¿Qué te interesaba mucho cuando eras niño(a)?,What were you most interested in as a child?
"Si pudieras tener cualquier animal como mascota, ¿qué animal elegirías?","If you could have any animal as a pet, what animal would you choose?"
¿Alguna vez has salvado la vida de un animal? ¿o la vida de una persona?,"Have you ever saved an animal's life, or a person's life?"
"¿Quién es tu artista favorito (comediante, músico, actor, etc.)?","Who is your favourite artist (comedian, musician, actor, etc.)?"
¿Eres una persona muy organizada?,Are you a very organised person?
¿Alguna vez has hecho una presentación frente a un gran grupo de personas? ¿Cómo te fue?,Have you ever performed in front of a large group of people? How did it go?
¿Cuál es el sueño más extraño que has tenido?,What is the strangest dream you have ever had?
¿Quién era tu mejor amigo en la escuela primaria?,Who was your best friend in primary school?
¿Con qué frecuencia te quedas despierto después de las tres de la mañana?,How often do you stay up past three in the morning?
"¿Qué es más importante, tener un gran automóvil o una gran casa? ¿Por qué?","What is more important, having a big car or a big house? Why?"
¿Qué animal o insecto desearías que los humanos pudieran erradicar?,What animal or insect do you wish humans could eradicate?
"Si abrieras un negocio, ¿qué tipo de negocio sería?","If you were to open a business, what kind of business would it be?"
"Si tu mente fuera una isla, ¿cómo sería?","If your mind were an island, what would it look like?"
¿Qué sabor de helado desearías que existiera?,What flavour of ice cream do you wish existed?
"Si tuvieras una mascota personal (talismán de buena suerte), ¿cuál sería tu mascota?","If you had a personal pet (good luck talisman), what would your pet be?"
"Si fueras un rey o reina, ¿cómo sería tu trono?","If you were a king or queen, what would your throne look like?"
El tiempo se congela para todos menos para ti por un día. ¿Qué harías?,Time freezes for everyone but you for one day. What would you do?
Tienes que revivir un día de tu vida para siempre. ¿Qué día eliges?,You have to relive one day of your life forever. Which day do you choose?
¿Cómo luciría tu propio infierno personal? ¿Qué tal tu propio cielo personal?,What would your own personal hell look like? How about your own personal heaven?
"Encuentras un control remoto que puede rebobinar, avanzar rápidamente, detenerse y comenzar el Tiempo. ¿Qué haces con él?","You find a remote control that can rewind, fast forward, stop and start Time. What do you do with it?"
"Si pudieras llamar a cualquiera en el mundo y tener una conversación de una hora, ¿a quién llamarías?","If you could call anyone in the world and have an hour-long conversation, who would you call?"
"El mundo se ha infestado de perros rabiosos con la inteligencia de un niño de cinco años, ¿en dónde te refugias para sobrevivir al “perropocalipsis”?","The world has become infested with rabid dogs with the intelligence of a five year old, where do you take refuge to survive the ""perropocalypse""?"
Un portal a otro mundo se abre delante de ti. No sabes cuánto tiempo permanecerá abierto o si podrás volver después de atravesarlo. ¿Qué haces?,A portal to another world opens before you. You don't know how long it will remain open or if you will be able to return after you pass through it. What do you do?
"Si pudieras hacer una llamada telefónica de veintidós segundos a ti mismo en cualquier momento de tu vida presente o futura, ¿cuándo llamarías y qué dirías?","If you could make a twenty-two second phone call to yourself at any time in your present or future life, when would you call and what would you say?"
"Si pudieras tener una vela interminable que oliera como cualquier cosa que quisieras, ¿qué fragancia querrías que tuviera?","If you could have an endless candle that smelled like anything you wanted, what fragrance would you want it to have?"
"Si hicieran una película de tu vida, ¿qué actor o actriz haría el papel principal?","If they made a movie of your life, which actor or actress would play the lead role?"
"Si pudieras abolir una ley, ¿cuál sería? ¿Qué leyes crearías?","If you could abolish one law, what would it be? What laws would you create?"
"Si existieran las vidas extra en la vida real, ¿cómo se obtendrían?","If extra lives existed in real life, how would you get them?"
"Si fueras una comida, ¿Cuál serías?","If you were a food, what would you be?"
¿Qué animal crees que se vería mejor si estuviera cubierto de vendas?,What animal do you think would look better if it were covered in bandages?
"Si pudieras diseñar uno, ¿cómo sería tu planeta ideal?","If you could design one, what would your ideal planet look like?"
¿Cuál sería tu estrategia para sobrevivir a un apocalipsis zombi?,What would be your strategy for surviving a zombie apocalypse?
"Si pudieras ser el director general de una empresa, ¿qué empresa elegirías?","If you could be the CEO of a company, which company would you choose?"
"Si pudieras intercambiar los sonidos de dos animales, ¿cuáles elegirías?","If you could interchange the sounds of two animals, which would you choose?"
"Si te dieran la oportunidad de no sentir dolor de forma permanente, ¿aceptarías?","If you were given the opportunity to be permanently pain-free, would you accept?"
¿En qué mundo de caricatura te gustaría vivir por una semana?,What cartoon world would you like to live in for a week?
¿Qué desearías que creciera en los árboles?,What would you wish would grow on trees?
¿Qué cosa o actividad extraña harías que fuera socialmente aceptable?,What strange thing or activity would you do that would be socially acceptable?
"Si pudieras transportarte instantáneamente a un punto aleatorio de la línea del tiempo de la humanidad cada vez que tronaras los dedos, ¿aceptarías hacerlo? Si respondiste que sí, ¿con cuánta frecuencia lo harías?","If you could instantly transport yourself to a random point on humanity's timeline every time you snapped your fingers, would you agree to do it? If you answered yes, how often would you do it?"
"Si tú y tus amigos tuvieran que oler un solo aroma durante toda la vida (aparte de tu olor natural), ¿Cuál elegirías?","If you and your friends had to smell only one scent for a lifetime (other than your natural scent), which one would you choose?"
"Si pudieras mejorar cualquier aspecto de tu personalidad (ej., fuerza, inteligencia, carisma, etc.), pero cada uno tuvieras que empeorar otro, ¿qué aspectos mejorarías, y cuáles sacrificarías?","If you could improve any aspect of your personality (e.g., strength, intelligence, charisma, etc.), but each had to make another worse, which aspects would you improve, and which would you sacrifice?"
"Si los humanos perdieran la capacidad para ver todos los colores excepto uno, ¿qué color crees que sobreviviría?","If humans lost the ability to see all colors except one, which color do you think would survive?"
"Si fueras el dictador de un pequeño país, ¿qué cosas te gustaría hacer?","If you were the dictator of a small country, what things would you like to do?"
"Si tus sábanas estuvieran hechas de embutidos, ¿qué carne fría elegirías?","If your sheets were made of sausage, what cold meat would you choose?"
"Si pudieras ponerle alas a un animal, ¿qué animal elegirías?","If you could put wings on an animal, what animal would you choose?"
¿Qué tan diferente sería el mundo si los dirigibles fueran la principal forma de viaje aéreo?,How different would the world be if airships were the main form of air travel?
"Cada día, aparecen 12 objetos aleatorios en tu patio, pero todos comienzan con la letra de tu elección. ¿Qué letra elegirías?","Every day, 12 random objects appear in your yard, but they all begin with the letter of your choice. which letter would you choose?"
"Si no tuvieras que preocuparte por el dinero, ¿qué harías, y cómo crees que sería tu estilo de vida?","If you didn't have to worry about money, what would you do, and what do you think your lifestyle would be like?"
"Al morir, ¿qué preferirías: Dejar de existir o deambular eternamente por la Tierra sin poder interactuar con nada ni nadie?","When you die, what would you prefer: to cease to exist or to wander the Earth eternally without being able to interact with anyone or anything?"
"Si pudieras mudarte a cualquier parte del mundo, y tuvieras un salario para vivir bien, ¿en dónde te gustaría vivir?","If you could move anywhere in the world, and you had a good living wage, where would you like to live?"
"Si pudieras conseguir un boleto para cualquier espectáculo o evento, ¿a qué te gustaría asistir?","If you could get a ticket to any show or event, what would you like to attend?"
"Si pudieras viajar en el tiempo y darles un consejo a tus padres antes de que nacieras, ¿qué consejo les darías?","If you could travel back in time and give your parents advice before you were born, what advice would you give them?"
"Si todos fuéramos mentalmente incapaces de mentir, ¿cómo crees que eso cambiaría nuestro mundo?","If we were all mentally incapable of lying, how do you think that would change our world?"
"Tienes la opción de ser invisible. Sin embargo, tendrías que serlo de forma permanente. En este caso, ¿te gustaría ser invisible?","You have the option to be invisible. However, you would have to be permanently invisible. In this case, would you like to be invisible?"
"Si tuvieras que inventar un baile que nunca antes se ha visto en toda la historia de la humanidad, ¿qué clase de baile te gustaría hacer?","If you had to invent a dance that has never been seen before in all of human history, what kind of dance would you like to do?"
"Si pudieras eliminar la existencia de algo, como un recuerdo, objeto o animal, ¿qué te gustaría eliminar?","If you could eliminate the existence of something, such as a memory, object or animal, what would you like to eliminate?"
"Si la ley te obligara a tener un tatuaje de cuerpo completo, ¿qué te gustaría incluir?","If you were required by law to have a full body tattoo, what would you like to include?"
"Si fueras el gerente de desarrollo de productos en una cadena de comida rápida, ¿qué abominación te gustaría crear?","If you were the product development manager at a fast food chain, what abomination would you like to create?"
"Si pudieras cambiar los sonidos que hace tu cuerpo (ej., eructo, gas, bostezo, estornudo, etc.), ¿qué efectos de sonido te gustaría implementar?","If you could change the sounds your body makes (e.g., burp, gas, yawn, sneeze, etc.), what sound effects would you like to implement?"
"Si te obligaran a luchar en un combate de gladiadores, pero tuvieras que elegir un arma que usualmente no se considera un arma, ¿qué elegirías?","If you were forced to fight in a gladiatorial combat, but had to choose a weapon that is not usually considered a weapon, what would you choose?"
"Si pudieras reemplazar cualquier palabra de uso común con otra, sin que nadie se enterara, ¿qué palabra elegirías?","If you could replace any commonly used word with another word, without anyone knowing, what word would you choose?"
"Si pudieras viajar en el tiempo y ganar una discusión que no ganaste en el pasado, ¿qué discusión elegirías?","If you could travel back in time and win an argument that you didn't win in the past, what argument would you choose?"
"Si reencarnaras en un animal según tu personalidad, ¿en qué animal crees que te convertirías?","If you were to be reincarnated into an animal based on your personality, what animal do you think you would become?"
"Si tuvieras que ser atormentado por un fantasma de un amigo o conocido por el resto de tu vida, ¿a quién elegirías?","If you had to be haunted by a ghost of a friend or acquaintance for the rest of your life, who would you choose?"
